伥	〔亻长・ENcⓡ・chāng〕
伦	〔亻人匕・ERNb・lún〕
伧	〔亻人㔾・ERAj・cāng|chen〕
伨	〔亻勹冫・EWIr・xùn〕
伩	〔亻文・ETeⓡ・xìn〕
伪	〔亻丶力丶・EKSK・wěi〕
伫	〔亻宀一・EIFi・zhù〕
伬	〔亻尸乀・EBKd・ze〕
伭	〔亻亠幺・EANa・xián〕
伮	〔亻女又・ECBo・nǔ〕
伯	〔亻白・EDbⓡ・bó|bǎi|mò|bà〕
估	〔亻古・EJgⓡ・gū|gù〕
伱	〔亻人小・ERIv・nǐ〕
伲	〔亻尸匕・EBNb・nì|ní|nǐ〕
伳	〔亻世・ESiⓡ・xiè〕
伴	〔亻丷{奉下}・EQAk・bàn|pàn〕
伵	〔亻囗儿・EWWr・xù〕
伶	〔亻人丶マ・ERKB・líng〕
伷	〔亻由・EDoⓡ・zhòu〕
伸	〔亻申・EDsⓡ・shēn〕
伹	〔亻且・EJqⓡ・qū|zù〕
伺	〔亻乛一口・EYFL・cì|sì〕
伻	〔亻干丷・ENQk・bēng〕
似	〔亻乚丶人・EEKR・shì|sì〕
伽	〔亻力口・ESLv・gā|jiā|qié〕
伾	〔亻不一・EVFi・pī〕
伿	〔亻口八・ELKa・yì〕
佀	〔亻尸コ・EBBo・sì〕
佁	〔亻厶口・ENLv・yǐ|ǎi|sì|chì〕
佂	〔亻正・ELzⓡ・zhēng〕
佃	〔亻田・EVtⓡ・diàn|tián〕
佄	〔亻卄二・ESIr・hān|gàn〕
佅	〔亻未・EFwⓡ・mài〕
但	〔亻日一・EJFi・dàn|tǎn|yàn〕
佇	〔亻宀丁・EIJd・zhù〕
佈	〔亻ナ巾・EEUj・bù〕
佉	〔亻土厶・EHNa・qū|qiā〕
佊	〔亻皮・EBpⓡ・bǐ〕
佋	〔亻刀口・EMLv・zhāo|sháo|shào〕
佌	〔亻止匕・EPNb・cǐ〕
位	〔亻立・EKlⓡ・wèi|lì〕
低	〔亻{卬左}七丶・EKXK・dī〕
住	〔亻丶王・EKJw・zhù〕
佐	〔亻ナ工・EEPg・zuǒ〕
佑	〔亻ナ口・EELv・yòu〕
佒	〔亻冂大・ECOd・yǎng|yāng〕
体	〔亻木一・EAFi・tǐ|tī|bèn|cuì〕
佔	〔亻⺊口・EULv・zhàn|chān|diān〕
何	〔亻丁口・EJLv・hé|hè〕
佖	〔亻心丿・ERGp・bì〕
佗	〔亻宀匕・EINb・tuó|tuō|tuò|yí〕
佘	〔人示・RJsⓔ・shé〕
余	〔人一朩・RFAm・yú|tú|xú|yù〕
佚	〔亻丿夫・EGOf・yì|dié〕
佛	〔亻弓{介下}・EBKa・fú|fó|bó|bì〕
作	〔亻{乞上}{乍下}・EGUb・zuò|zuō|zuó〕
佝	〔亻勹口・EWLv・gōu|kòu|jū〕
佞	〔亻二女・EICn・nìng〕
佟	〔亻夊⺀・ETIr・tóng〕
你	〔亻⺈小・EXIv・nǐ〕
佡	〔亻人山・ERUs・xiān〕
佢	〔亻匚コ・EHBo・qú〕
佣	〔亻用・ESyⓡ・yōng|yòng〕
佤	〔亻瓦・ERwⓡ・wǎ〕
佥	〔人一{兴上}・RFNs・qiān〕
佦	〔亻石・EVsⓡ・shi〕
佧	〔亻上卜・EJUb・kǎ〕
佨	〔亻勹巳・EWOs・bāo〕
佩	〔亻几一巾・EEFU・pèi〕
佪	〔亻囗口・EWLv・huí|huái〕
佫	〔亻夊口・ETLv・hè|gé〕
佬	〔亻耂匕・EHNb・lǎo|liáo〕
佭	〔亻夊㐄・ETAk・xiáng〕
佮	〔亻合・ERhⓡ・gé|é〕
佯	〔亻羊・EQyⓡ・yáng〕
佰	〔亻丆日・EVJr・bǎi|mò〕
佱	〔人一正・RFLz・fǎ〕
佲	〔亻夕口・EXLv・mǐng〕
佳	〔亻土土・EHHt・jiā〕
佴	〔亻耳・ELeⓡ・èr|nài〕
併	〔亻䒑卄・EQSo・bìng〕
佶	〔亻士口・EHLv・jí〕
佷	〔亻艮・EGgⓡ・hěn|héng〕
佸	〔亻舌・ELsⓡ・huó〕
佹	〔亻⺈厂㔾・EXVA・guǐ|guī〕
佺	〔亻人王・ERJw・quán〕
佻	〔亻儿冫{飞右}・EWII・tiāo|tiáo|tiào|diǎo|yáo|dào|zhào〕
佼	〔亻亠八乂・EAKS・jiǎo|jiāo|xiáo〕
佽	〔亻冫欠・EIXq・cì〕
