仰	〔亻{卬左}卩・EJEj・yǎng|áng〕
仱	〔亻人丶乛・EUIO・qián|jīng〕
仲	〔亻口丨・EKLs・zhòng〕
仳	〔亻匕匕・EBBb・pǐ|pí|bì〕
仴	〔亻月・EYv・wò〕
仵	〔亻{乞上}十・EGRs・wǔ〕
件	〔亻牛・EPn・jiàn|móu〕
价	〔亻人{介下}・EURj・jià|jie|jiè〕
仸	〔亻夭・EHi・yǎo|fó〕
仹	〔亻丰・EQf・fēng〕
仺	〔人{反彐}・UVj・cāng〕
任	〔亻壬・ENr・rèn|rén|lìn〕
仼	〔亻王・EYw・wáng〕
份	〔亻八刀・EMJd・fèn|bīn〕
仾	〔亻一彑・EFQj・dī〕
仿	〔亻方・EIf・fǎng|páng〕
伀	〔亻八厶・EMDm・zhōng〕
企	〔人止・UNz・qǐ〕
伂	〔亻一巾・EFRj・pèi〕
伃	〔亻予・ELv・yú|yǔ|xù〕
伄	〔亻弓丨・EJLs・diào〕
伅	〔亻七凵・EGJk・dùn〕
伆	〔亻勹{二撇}・EIWs・wù〕
伇	〔亻殳・ESs・yì〕
伈	〔亻心・ENx・xǐn|lǐn〕
伉	〔亻亠几・ERSj・kàng|gāng|kǎng〕
伊	〔亻彐丿・EVWp・yī〕
伋	〔亻乃乀・ERId・jí|fán〕
伌	〔亻厂㔾・EVEj・ài〕
伍	〔亻一{五下}・EFKw・wǔ〕
伎	〔亻十又・ERDi・jì|zhì|qí|qì〕
伏	〔亻犬・EQq・fú|fù〕
伐	〔亻戈・EKg・fá〕
休	〔亻木・EAm・xiū|xù〕
伒	〔亻斤・ELj・jìn|yín〕
伓	〔亻不・ENb・pī〕
伔	〔亻冖几・EOSj・dǎn〕
伕	〔亻夫・EMf・fū〕
伖	〔亻ナ又・EXDi・tǎng〕
众	〔人人人・UUUr・zhòng|yín〕
优	〔亻尤・EQi・yōu|yóu〕
伙	〔亻火・EMh・huǒ|huo〕
会	〔人二厶・UADm・huì|kuài〕
伛	〔亻匚乂・ETCi・yǔ〕
伜	〔亻九十・EFRs・cuì〕
伝	〔亻二厶・EADm・yún〕
伞	〔人丷十・ULRs・sǎn〕
伟	〔亻{奉下}乛・EAOi・wěi〕
传	〔亻二㇉丶・EATI・chuán|zhuàn〕
伡	〔亻车・EGc・chē〕
伢	〔亻牙・EXi・yá〕
伣	〔亻见・EDj・qiàn|xiàn〕
伤	〔亻{乞上}力・EGSl・shāng〕
伥	〔亻长・EKc・chāng〕
伦	〔亻人匕・EUBb・lún〕
伧	〔亻人㔾・EUEj・cāng|chen〕
伨	〔亻勹冫・EIAe・xùn〕
伩	〔亻文・EEw・xìn〕
伪	〔亻丶力丶・EISI・wěi〕
伫	〔亻宀一・EIFi・zhù〕
伬	〔亻尸乀・ETId・ze〕
伭	〔亻亠幺・ERJi・xián〕
伮	〔亻女又・EWDi・nǔ〕
伯	〔亻白・EDb・bó|bǎi|mò|bà〕
估	〔亻古・EOg・gū|gù〕
伱	〔亻人小・EUIx・nǐ〕
伲	〔亻尸匕・ETBb・nì|ní|nǐ〕
伳	〔亻世・ELs・xiè〕
伴	〔亻丷{奉下}・ELAk・bàn|pàn〕
伵	〔亻囗儿・EBEe・xù〕
伶	〔亻人丶マ・EUID・líng〕
伷	〔亻由・EUi・zhòu〕
伸	〔亻申・EIs・shēn〕
