薄	〔艹氵甫寸・lknk〕
鲍	〔鱼勹巳・wnvs〕
爆	〔火日龷八氺・colk〕
葆	〔艹亻口木・ljde〕
暴	〔日龷八氺・olhk〕
豹	〔豸勹丶・mnid〕
瀑	〔氵日龷八氺・kolk〕
胞	〔月勹巳・vnvs〕
剥	〔氺刂・bkpd〕
褒	〔衣亻口木・tjde〕
苞	〔艹勹巳・lnvs〕
雹	〔⻗勹巳・tnvs〕
孢	〔子勹巳・hnvs〕
煲	〔亻口木火・jdec〕
刨	〔勹巳刂・nvpd〕
曝	〔日日龷八氺・oolk〕
炮	〔火勹巳・cnvs〕
褓	〔衤亻口木・tjde〕
鸨	〔匕十鸟・vnxn〕
趵	〔⻊勹丶・pnid〕
龅	〔齿勹巳・lnvs〕
宀	〔宀・wg〕
勹	〔勹・nk〕
蕔	〔艹土卩又・lggr〕
藵	〔艹亻口木衣・ljdt〕
菢	〔艹扌勹巳・lunv〕
虣	〔一弋止虎・fpsz〕
蚫	〔虫勹巳・cnvs〕
袌	〔衣勹巳・tnvs〕
裦	〔衣予丿・tuit〕
襃	〔衣口木・tude〕
緥	〔糹亻口木・ijde〕
笣	〔⺮勹巳・rnvs〕
窇	〔穴勹巳・envs〕
賲	〔亻口木貝・jdeo〕
珤	〔王缶・naf〕
鉋	〔金勹巳・znvs〕
枹	〔木勹巳・envs〕
曓	〔日屮凵大木一・osmf〕
鑤	〔金日龷八氺・zolk〕
铇	〔钅勹巳・znvs〕
闁	〔門門・aam〕
怉	〔忄勹巳・hnvs〕
忁	〔彳日屮凵大氺・wosk〕
靌	〔⻗宀王小貝・twno〕
靤	〔面勹巳・bnvs〕
寶	〔宀王缶貝・wnao〕
寳	〔宀王小貝・wnxo〕
寚	〔宀王缶・wnaf〕
宲	〔宀口木・wdem〕
飹	〔飠卯・qbm〕
飽	〔飠勹巳・qnvs〕
媬	〔女亻口木・bjde〕
駂	〔匕十馬・vnnm〕
報	〔土卩又・ggzr〕
堢	〔土亻口木・gjde〕
骲	〔骨勹巳・fnvs〕
髱	〔镸彡勹巳・penv〕
鮑	〔魚勹巳・wnvs〕
鳵	〔⺄十鳥・anxn〕
鴇	〔匕十鳥・vnxn〕
勽	〔勹人・njr〕
剝	〔彑氺刂・bkpd〕
儤	〔亻日龷八氺・jolk〕
佨	〔亻勹巳・jnvs〕
齙	〔齒勹巳・lnvs〕
被	〔衤皮・trp〕
背	〔匕⺝・avvy〕
北	〔匕・avb〕
倍	〔亻立口・jidk〕
杯	〔木不・ecb〕
备	〔夂田・hqt〕
贝	〔贝・ob〕
碑	〔石白丿十・mutn〕
悲	〔非心・rhx〕
辈	〔非车・ryc〕
蓓	〔艹亻立口・ljid〕
卑	〔白丿十・utns〕
悖	〔忄十冖子・hnwh〕
钡	〔钅贝・zob〕
陂	〔阝皮・trp〕
碚	〔石立口・midk〕
焙	〔火立口・cidk〕
狈	〔犭贝・mob〕
孛	〔十冖子・nwhi〕
惫	〔夂田心・hqhx〕
臂	〔尸口辛⺝・cdnv〕
褙	〔衤匕⺝・tavv〕
鹎	〔白丿十鸟・utnx〕
邶	〔匕阝・avte〕
鞴	〔革龷丿・tltt〕
鐾	〔尸口辛金・cdnz〕
椑	〔木白丿十・eutn〕
鞁	〔革皮・trp〕
藣	〔艹罒厶⺝匕・lykv〕
萯	〔艹⺈貝・lxob〕
蛽	〔虫貝・cob〕
苝	〔艹匕・lavb〕
糒	〔米龷丿・pltt〕
箄	〔⺮白丿十・rutn〕
誖	〔言十冖子・snwh〕
禙	〔礻匕⺝・favv〕
盃	〔不皿・cam〕
貝	〔貝・ob〕
琲	〔王非・nrf〕
珼	〔王貝・nob〕
狽	〔犭貝・mob〕
犕	〔牜龷丿・qltt〕
牬	〔牜𠂔・qtf〕
軰	〔匕車・avyc〕
輩	〔非車・ryc〕
鄁	〔匕⺝阝・avvt〕
棑	〔木非・erf〕
梖	〔木貝・eob〕
桮	〔木不口・ecdk〕
鉳	〔金匕・zavb〕
柸	〔木不一・ecfi〕
杮	〔木一巾・efrj〕
鋇	〔金貝・zob〕
昁	〔日一巾・ofrj〕
揹	〔扌匕⺝・uavv〕
鐴	〔金尸口辛・zcdn〕
憊	〔亻龷丿心・jlth〕
愂	〔十冖子力心・nwhh〕
韝	〔韋一冂土・gqfg〕
骳	〔骨皮・frp〕
鵯	〔白丿十鳥・utnx〕
僃	〔亻艹勹・jlnt〕
備	〔亻龷丿・jltt〕
偹	〔亻丨夂田・jghq〕
偝	〔亻匕⺝・javv〕
俻	〔亻夂田・jhqt〕
本	〔木一・efi〕
笨	〔⺮木一・refi〕
奔	〔大十廾・mnlc〕
苯	〔艹木一・lefi〕
贲	〔十艹贝・nlob〕
锛	〔钅大十廾・zmnl〕
坌	〔八刀土・hpgt〕
夯	〔大力・msl〕
畚	〔厶大田・kmqt〕
蟦	〔虫十艹貝・cnlo〕
翉	〔木一羽・efzv〕
賁	〔十艹貝・nlob〕
獖	〔犭十艹貝・mnlo〕
犇	〔牛牜牛・qqqn〕
燌	〔火十艹貝・cnlo〕
炃	〔八刀火・hpch〕
輽	〔車厶大田・ykmq〕
渀	〔氵大十廾・kmnl〕
逩	〔大十廾辶・mnlu〕
泍	〔氵木一・kefi〕
楍	〔木口口口・eddd〕
桳	〔木厶大十・ekmn〕
錛	〔金大十廾・zmnl〕
撪	〔扌厶大車・ukmy〕
捹	〔扌大十廾・umnl〕
鐼	〔金十艹貝・znlo〕
奙	〔厶大日乚・kmoa〕
喯	〔口大十廾・dmnl〕
倴	〔亻大十廾・jmnl〕
蹦	〔⻊山月月・pvvv〕
崩	〔山月月・vvvy〕
甭	〔不用・cty〕
泵	〔石水・mks〕
绷	〔纟月月・ivvy〕
迸	〔䒑廾辶・hluc〕
嘣	〔口山月月・dvvv〕
甏	〔彡瓦・herw〕
琫	〔王㇏・naiu〕
镚	〔钅山月月・zvvv〕
菶	〔艹㇏・laiu〕
繃	〔糹山月月・ivvv〕
綳	〔糹月月・ivvy〕
絣	〔糹䒑廾・ihlc〕
祊	〔礻方・flf〕
痭	〔疒月月・avvy〕
琣	〔王立口・nidk〕
跰	〔⻊䒑廾・phlc〕
逬	〔丿丿干辶・tetu〕
錋	〔金月月・zvvy〕
揼	〔扌石水・umks〕
鏰	〔金山月月・zvvv〕
閍	〔門方・alf〕
鞛	〔革立口・tidk〕
嵭	〔山冖方・viwl〕
奟	〔大月月・mvvy〕
塴	〔土山月月・gvvv〕
埄	〔土夂丰・ghaf〕
傰	〔亻山月月・jvvv〕
伻	〔亻干丷・jehb〕
比	〔匕・vvb〕
逼	〔一口田辶・fdqu〕
笔	〔⺮毛・rvm〕
币	〔丿巾・trj〕
必	〔心丿・htp〕
碧	〔王白石・nums〕
毕	〔匕十・vvns〕
彼	〔彳皮・wrp〕
壁	〔尸口辛土・cdng〕
避	〔尸口辛辶・cdnu〕
闭	〔门丿・antp〕
鼻	〔自田丌・oqlc〕
璧	〔尸口辛王丶・cdni〕
弊	〔㡀攵廾・fhlc〕
弼	〔弓一白弓・bfub〕
蔽	〔艹㡀攵・lfhp〕
庇	〔广匕・xvvb〕
毙	〔匕歹匕・vvgv〕
俾	〔亻白丿十・jutn〕
痹	〔疒田丌・aqlc〕
敝	〔㡀攵・fhp〕
鄙	〔口十囗口阝・dnrt〕
铋	〔钅心丿・zhtp〕
荜	〔艹匕十・lvvn〕
薜	〔艹尸口辛・lcdn〕
哔	〔口匕十・dvvn〕
吡	〔口匕・dvvb〕
襞	〔尸口辛衣・cdnt〕
陛	〔阝匕土・tvvg〕
