㑇	〔㑇・(㑳)〕
胶	〔胶・(膠)・膠〕
胸	〔胸・[胷]〕
脆	〔脆・[脃]〕
脉	〔脉・[脈䘑衇]・脈〕
脍	〔脍・(膾)・膾〕
脏	〔脏・(臟|髒)・臟|髒〕
脐	〔脐・(臍)・臍〕
脑	〔脑・(腦)・腦〕
脓	〔脓・(膿)・膿〕
脔	〔脔・(臠)・臠〕
脖	〔脖・[𩓐]〕
脚	〔脚・[腳]〕
脶	〔脶・腡〕
脸	〔脸・(臉)・臉〕
腊	〔腊・(臘)[臈]・臘〕
腌	〔腌・[醃]〕
腭	〔腭・[齶]〕
腮	〔腮・[顋]〕
腻	〔腻・(膩)・膩〕
腾	〔腾・(騰)・騰〕
腿	〔腿・[骽]〕
膀	〔膀・[髈]〕
膑	〔膑・(臏)・臏〕
膘	〔膘・[臕]〕
膝	〔膝・[厀]〕
膳	〔膳・[饍]〕
膻	〔膻・[羴羶]〕
臀	〔臀・[臋]〕
臜	〔臜・(臢)・臢〕
致	〔致・(致|緻)・緻〕
舆	〔舆・(輿)・輿〕
舍	〔舍・(舍|捨)・捨〕
舣	〔舣・(艤)〕
舰	〔舰・(艦)・艦〕
舱	〔舱・(艙)・艙〕
船	〔船・[舩]〕
舻	〔舻・(艫)・艫〕
艰	〔艰・(艱)・艱〕
艳	〔艳・(艷)[豓豔]・豔〕
艺	〔艺・(藝)・藝〕
节	〔节・(節)・節〕
芗	〔芗・(薌)・薌〕
芜	〔芜・(蕪)・蕪〕
芦	〔芦・(蘆)・蘆〕
花	〔花・[芲蘤]〕
芸	〔芸・(芸|蕓)・蕓〕
苁	〔苁・(蓯)・蓯〕
苇	〔苇・(葦)・葦〕
苈	〔苈・(藶)・藶〕
苋	〔苋・(莧)・莧〕
苌	〔苌・(萇)〕
苍	〔苍・(蒼)・蒼〕
苎	〔苎・(苧)〕
苏	〔苏・(蘇|囌)[甦蘓|]・蘇|囌〕
苧	〔苧・(薴)〕
苹	〔苹・(蘋)〕
范	〔范・(范|範)・範〕
茎	〔茎・(莖)・莖〕
茏	〔茏・(蘢)・蘢〕
茑	〔茑・(蔦)・蔦〕
茔	〔茔・(塋)・塋〕
茕	〔茕・(煢)・煢〕
茧	〔茧・(繭)[蠒]・繭〕
草	〔草・[艸]〕
荐	〔荐・(薦)・荐〕
荔	〔荔・[茘]〕
荙	〔荙・(薘)〕
荚	〔荚・(莢)・莢〕
荛	〔荛・(蕘)・蕘〕
荜	〔荜・(蓽)・蓽〕
荞	〔荞・(蕎)[荍]・蕎〕
荟	〔荟・(薈)・薈〕
荠	〔荠・(薺)・薺〕
荡	〔荡・(蕩)[盪]・蕩〕
荣	〔荣・(榮)・榮〕
荤	〔荤・(葷)・葷〕
荥	〔荥・(滎)・滎〕
荦	〔荦・(犖)・犖〕
荧	〔荧・(熒)・熒〕
荨	〔荨・(蕁)・蕁〕
荩	〔荩・(藎)・藎〕
荪	〔荪・(蓀)・蓀〕
荫	〔荫・(蔭)[廕]・蔭|廕〕
荬	〔荬・(蕒)・蕒〕
荭	〔荭・(葒)・葒〕
荮	〔荮・(葤)〕
药	〔药・(藥)・藥〕
莅	〔莅・[涖蒞]〕
莱	〔莱・(萊)・萊〕
莲	〔莲・(蓮)・蓮〕
莳	〔莳・(蒔)・蒔〕
莴	〔莴・(萵)・萵〕
莶	〔莶・(薟)〕
获	〔获・(獲|穫)・獲|穫〕
莸	〔莸・(蕕)・蕕〕
莹	〔莹・(瑩)・瑩〕
莺	〔莺・(鶯)[鸎]・鶯〕
莼	〔莼・(蒓)[蓴]・蓴〕
菱	〔菱・[蔆]〕
萚	〔萚・(蘀)・蘀〕
萝	〔萝・(蘿)・蘿〕
萤	〔萤・(螢)・螢〕
营	〔营・(營)・營〕
萦	〔萦・(縈)・縈〕
萧	〔萧・(蕭)・蕭〕
萨	〔萨・(薩)・薩〕
萱	〔萱・[萲蕿蘐藼]〕
萼	〔萼・[蕚]〕
葬	〔葬・[塟𦵏]〕
葱	〔葱・[蔥]〕
蒂	〔蒂・[蔕]〕
蒇	〔蒇・蕆〕
蒉	〔蒉・蕢〕
蒋	〔蒋・(蔣)・蔣〕
蒌	〔蒌・(蔞)・蔞〕
蒙	〔蒙・(蒙|濛|懞|矇)・濛|矇〕
蓑	〔蓑・[簑]〕
蓝	〔蓝・(藍)・藍〕
蓟	〔蓟・(薊)・薊〕
蓠	〔蓠・(蘺)〕
蓣	〔蓣・蕷〕
蓥	〔蓥・(鎣)〕
蓦	〔蓦・(驀)・驀〕
蔑	〔蔑・(蔑|衊)・衊〕
蔷	〔蔷・(薔)・薔〕
蔹	〔蔹・蘞〕
蔺	〔蔺・(藺)・藺〕
蔼	〔蔼・(藹)・藹〕
蕊	〔蕊・[蕋橤蘂]〕
蕲	〔蕲・(蘄)・蘄〕
蕴	〔蕴・(藴)・蘊〕
薮	〔薮・(藪)・藪〕
薯	〔薯・[藷]〕
藓	〔藓・(蘚)・蘚〕
藜	〔藜・[蔾]〕
藤	〔藤・[籐]〕
虏	〔虏・(虜)[虜]・虜〕
虑	〔虑・(慮)・慮〕
虫	〔虫・(蟲)・蟲〕
虬	〔虬・[虯]〕
虮	〔虮・(蟣)・蟣〕
虱	〔虱・[蝨]〕
虻	〔虻・[蝱]〕
虽	〔虽・(雖)・雖〕
虾	〔虾・(蝦)・蝦〕
虿	〔虿・(蠆)・蠆〕
蚀	〔蚀・(蝕)・蝕〕
蚁	〔蚁・(蟻)・蟻〕
蚂	〔蚂・(螞)・螞〕
蚊	〔蚊・[螡蟁]〕
蚕	〔蚕・(蠶)・蠶〕
蚝	〔蚝・[蠔]〕
蚬	〔蚬・(蜆)・蜆〕
蛇	〔蛇・[虵]〕
蛊	〔蛊・(蠱)・蠱〕
蛎	〔蛎・(蠣)・蠣〕
蛏	〔蛏・(蟶)・蟶〕
蛔	〔蛔・[蚘痐蛕蜖]〕
蛙	〔蛙・[鼃]〕
蛮	〔蛮・(蠻)・蠻〕
蛰	〔蛰・(蟄)・蟄〕
蛱	〔蛱・(蛺)・蛺〕
蛲	〔蛲・(蟯)・蟯〕
蛳	〔蛳・(螄)・螄〕
蛴	〔蛴・(蠐)・蠐〕
蜂	〔蜂・[䗬蠭]〕
蜗	〔蜗・(蝸)・蝸〕
蜡	〔蜡・(蠟)・蠟〕
蝇	〔蝇・(蠅)・蠅〕
蝈	〔蝈・(蟈)・蟈〕
蝉	〔蝉・(蟬)・蟬〕
蝎	〔蝎・[蠍]〕
蝶	〔蝶・[蜨]〕
蝼	〔蝼・(螻)・螻〕
蝾	〔蝾・(蠑)・蠑〕
螂	〔螂・[蜋]〕
融	〔融・[螎]〕
螨	〔螨・(蟎)・蟎〕
蟆	〔蟆・[蟇]〕
蟏	〔蟏・蠨〕
蟹	〔蟹・[蠏]〕
蠕	〔蠕・[蝡]〕
蠢	〔蠢・[惷]〕
衄	〔衄・[衂䶊]〕
衅	〔衅・(釁)・釁〕
衔	〔衔・(銜)[啣衘]・銜〕
补	〔补・(補)・補〕
表	〔表・(表|錶)・編〕
衬	〔衬・(襯)・襯〕
衽	〔衽・[袵]〕
袄	〔袄・(襖)・襖〕
袅	〔袅・(裊)[嫋褭嬝]・裊〕
袆	〔袆・(褘)〕
袒	〔袒・[襢]〕
袜	〔袜・(襪)[韈韤]・襪〕
袭	〔袭・(襲)・襲〕
袯	〔袯・(襏)〕
装	〔装・(裝)・裝〕
裆	〔裆・(襠)・襠〕
裙	〔裙・[帬裠]〕
裢	〔裢・(褳)・褳〕
裤	〔裤・(褲)[袴]・褲〕
裥	〔裥・(襇)・襉〕
裸	〔裸・[躶臝]〕
褒	〔褒・[襃]〕
褓	〔褓・[緥]〕
褛	〔褛・(褸)・褸〕
褴	〔褴・(襤)・襤〕
襁	〔襁・[繦]〕
见	〔见・(見)・見〕
观	〔观・(觀)・觀〕
觃	〔觃・(覎)〕
规	〔规・(規)[槼]・規〕
觅	〔觅・(覓)[覔]・覓〕
视	〔视・(視)[眎眡]・視〕
觇	〔觇・(覘)・覘〕
览	〔览・(覽)・覽〕
觉	〔觉・(覺)・覺〕
觊	〔觊・(覬)・覬〕
觋	〔觋・(覡)・覡〕
觌	〔觌・覿〕
觎	〔觎・(覦)・覦〕
觏	〔觏・(覯)・覯〕
觐	〔觐・(覲)・覲〕
觑	〔觑・(覷)・覷〕
觞	〔觞・(觴)・觴〕
触	〔触・(觸)・觸〕
觯	〔觯・(觶)〕
訚	〔訚・(誾)〕
詟	〔詟・讋〕
誉	〔誉・(譽)・譽〕
誊	〔誊・(謄)・謄〕
计	〔计・(計)・計〕
订	〔订・(訂)・訂〕
讣	〔讣・(訃)・訃〕
认	〔认・(認)・認〕
讥	〔讥・(譏)・譏〕
讦	〔讦・(訐)・訐〕
讧	〔讧・(訌)・訌〕
讨	〔讨・(討)・討〕
让	〔让・(讓)・讓〕
讪	〔讪・(訕)・訕〕
讫	〔讫・(訖)・訖〕
训	〔训・(訓)・訓〕
议	〔议・(議)・議〕
讯	〔讯・(訊)・訊〕
记	〔记・(記)・記〕
讱	〔讱・(訒)〕
讲	〔讲・(講)・講〕
讳	〔讳・(諱)・諱〕
讴	〔讴・(謳)・謳〕
讵	〔讵・(詎)・詎〕
讶	〔讶・(訝)・訝〕
讷	〔讷・(訥)・訥〕
许	〔许・(許)・許〕
讹	〔讹・(訛)[譌]・訛〕
论	〔论・(論)・論〕
讻	〔讻・(訩)〕
讼	〔讼・(訟)・訟〕
讽	〔讽・(諷)・諷〕
设	〔设・(設)・設〕
访	〔访・(訪)・訪〕
诀	〔诀・(訣)・訣〕
证	〔证・(證)・證〕
诂	〔诂・(詁)・詁〕
诃	〔诃・(訶)・訶〕
评	〔评・(評)・評〕
诅	〔诅・(詛)・詛〕
识	〔识・(識)・識〕
诇	〔诇・(詗)・詗〕
诈	〔诈・(詐)・詐〕
诉	〔诉・(訴)[愬]・訴〕
诊	〔诊・(診)・診〕
诋	〔诋・(詆)・詆〕
诌	〔诌・(謅)・謅〕
词	〔词・(詞)[䛐]・詞〕
诎	〔诎・(詘)・詘〕
诏	〔诏・(詔)・詔〕
诐	〔诐・(詖)〕
译	〔译・(譯)・譯〕
诒	〔诒・(詒)・詒〕
诓	〔诓・(誆)・誆〕
诔	〔诔・(誄)・誄〕
试	〔试・(試)・試〕
诖	〔诖・(詿)・詿〕
诗	〔诗・(詩)・詩〕
诘	〔诘・(詰)・詰〕
诙	〔诙・(詼)・詼〕
诚	〔诚・(誠)・誠〕
诛	〔诛・(誅)・誅〕
诜	〔诜・(詵)〕
话	〔话・(話)[䛡]・話〕
诞	〔诞・(誕)・誕〕
诟	〔诟・(詬)・詬〕
诠	〔诠・(詮)・詮〕
诡	〔诡・(詭)・詭〕
询	〔询・(詢)・詢〕
诣	〔诣・(詣)・詣〕
诤	〔诤・(諍)・諍〕
该	〔该・(該)・該〕
详	〔详・(詳)・詳〕
诧	〔诧・(詫)・詫〕
诨	〔诨・(諢)・諢〕
诩	〔诩・(詡)・詡〕
诫	〔诫・(誡)・誡〕
诬	〔诬・(誣)・誣〕
语	〔语・(語)・語〕
诮	〔诮・(誚)・誚〕
误	〔误・(誤)・誤〕
诰	〔诰・(誥)・誥〕
诱	〔诱・(誘)・誘〕
诲	〔诲・(誨)・誨〕
诳	〔诳・(誑)・誑〕
说	〔说・(説)・說〕
诵	〔诵・(誦)・誦〕
请	〔请・(請)・請〕
诸	〔诸・(諸)・諸〕
诹	〔诹・(諏)・諏〕
诺	〔诺・(諾)・諾〕
读	〔读・(讀)・讀〕
诼	〔诼・(諑)・諑〕
诽	〔诽・(誹)・誹〕
课	〔课・(課)・課〕
诿	〔诿・(諉)・諉〕
谀	〔谀・(諛)・諛〕
谁	〔谁・(誰)・誰〕
谂	〔谂・(諗)・諗〕
调	〔调・(調)・調〕
谄	〔谄・(諂)[謟]・諂〕
谅	〔谅・(諒)・諒〕
谆	〔谆・(諄)・諄〕
谇	〔谇・(誶)・誶〕
谈	〔谈・(談)・談〕
谉	〔谉・讅〕
谊	〔谊・(誼)・誼〕
谋	〔谋・(謀)・謀〕
谌	〔谌・(諶)・諶〕
谍	〔谍・(諜)・諜〕
谎	〔谎・(謊)・謊〕
谏	〔谏・(諫)・諫〕
谐	〔谐・(諧)・諧〕
谑	〔谑・(謔)・謔〕
谒	〔谒・(謁)・謁〕
谓	〔谓・(謂)・謂〕
谔	〔谔・(諤)・諤〕
谕	〔谕・(諭)・諭〕
谖	〔谖・(諼)・諼〕
谗	〔谗・(讒)・讒〕
谘	〔谘・諮〕
谙	〔谙・(諳)・諳〕
谚	〔谚・(諺)・諺〕
谛	〔谛・(諦)・諦〕
谜	〔谜・(謎)・謎〕
谝	〔谝・(諞)・諞〕
谞	〔谞・諝〕
谟	〔谟・(謨)[謩]・謨〕
谠	〔谠・(讜)・讜〕
谡	〔谡・(謖)・謖〕
谢	〔谢・(謝)・謝〕
谣	〔谣・(謡)・謠〕
谤	〔谤・(謗)・謗〕
谥	〔谥・(謚)[諡]・諡〕
谦	〔谦・(謙)・謙〕
谧	〔谧・(謐)・謐〕
谨	〔谨・(謹)・謹〕
谩	〔谩・(謾)・謾〕
谪	〔谪・(謫)[讁]・謫〕
谫	〔谫・譾〕
谬	〔谬・(謬)・謬〕
谭	〔谭・(譚)・譚〕
谮	〔谮・(譖)・譖〕
谯	〔谯・(譙)・譙〕
谰	〔谰・(讕)・讕〕
谱	〔谱・(譜)・譜〕
谲	〔谲・(譎)・譎〕
谳	〔谳・(讞)・讞〕
谴	〔谴・(譴)・譴〕
谵	〔谵・(譫)・譫〕
谶	〔谶・(讖)・讖〕
谷	〔谷・(谷|穀)・穀〕
豆	〔豆・[荳]〕
贝	〔贝・(貝)・貝〕
贞	〔贞・(貞)・貞〕
负	〔负・(負)・負〕
贡	〔贡・(貢)・貢〕
财	〔财・(財)・財〕
责	〔责・(責)・責〕
贤	〔贤・(賢)・賢〕
败	〔败・(敗)・敗〕
账	〔账・(賬)・賬〕
货	〔货・(貨)・貨〕
质	〔质・(質)・質〕
贩	〔贩・(販)・販〕
贪	〔贪・(貪)・貪〕
贫	〔贫・(貧)・貧〕
贬	〔贬・(貶)・貶〕
购	〔购・(購)・購〕
贮	〔贮・(貯)・貯〕
贯	〔贯・(貫)・貫〕
贰	〔贰・(貳)・貳〕
贱	〔贱・(賤)・賤〕
贲	〔贲・(賁)・賁〕
贳	〔贳・(貰)・貰〕
贴	〔贴・(貼)・貼〕
贵	〔贵・(貴)・貴〕
贶	〔贶・(貺)・貺〕
贷	〔贷・(貸)・貸〕
贸	〔贸・(貿)・貿〕
费	〔费・(費)・費〕
贺	〔贺・(賀)・賀〕
贻	〔贻・(貽)・貽〕
贼	〔贼・(賊)・賊〕
贽	〔贽・(贄)・贄〕
贾	〔贾・(賈)・賈〕
贿	〔贿・(賄)・賄〕
赀	〔赀・(貲)〕
赁	〔赁・(賃)・賃〕
赂	〔赂・(賂)・賂〕
赃	〔赃・(贜)・贓〕
资	〔资・(資)[貲]・資〕
赅	〔赅・(賅)・賅〕
赆	〔赆・(贐)・贐〕
赇	〔赇・(賕)〕
赈	〔赈・(賑)・賑〕
赉	〔赉・(賚)・賚〕
赊	〔赊・(賒)・賒〕
赋	〔赋・(賦)・賦〕
赌	〔赌・(賭)・賭〕
赍	〔赍・(賫)[賷齎]・齎〕
赎	〔赎・(贖)・贖〕
赏	〔赏・(賞)・賞〕
赐	〔赐・(賜)・賜〕
赑	〔赑・贔〕
赒	〔赒・賙〕
赓	〔赓・(賡)・賡〕
赔	〔赔・(賠)・賠〕
赕	〔赕・(賧)・賧〕
赖	〔赖・(賴)[頼]・賴〕
赗	〔赗・賵〕
赘	〔赘・(贅)・贅〕
赙	〔赙・(賻)・賻〕
赚	〔赚・(賺)・賺〕
赛	〔赛・(賽)・賽〕
赜	〔赜・(賾)・賾〕
赝	〔赝・(贋)[贗]・贗〕
赞	〔赞・(贊)[賛讚]〕
赟	〔赟・(贇)〕
赠	〔赠・(贈)・贈〕
赡	〔赡・(贍)・贍〕
赢	〔赢・(贏)・贏〕
赣	〔赣・(贛)[贑灨]・贛〕
赪	〔赪・赬〕
赵	〔赵・(趙)・趙〕
赶	〔赶・(趕)・趕〕
趁	〔趁・[趂]〕
趋	〔趋・(趨)・趨〕
趱	〔趱・(趲)・趲〕
趸	〔趸・(躉)・躉〕
跃	〔跃・(躍)・躍〕
跄	〔跄・(蹌)・蹌〕
跖	〔跖・[蹠]〕
跞	〔跞・(躒)〕
践	〔践・(踐)・踐〕
跶	〔跶・(躂)〕
跷	〔跷・(蹺)[蹻]・蹺〕
跸	〔跸・(蹕)・蹕〕
跹	〔跹・(躚)・躚〕
跺	〔跺・[跥]〕
跻	〔跻・(躋)・躋〕
踊	〔踊・(踴)・踴〕
踌	〔踌・(躊)・躊〕
踩	〔踩・[跴]〕
踪	〔踪・[蹤]〕
踬	〔踬・(躓)・躓〕
踯	〔踯・(躑)・躑〕
蹄	〔蹄・[蹏]〕
蹑	〔蹑・(躡)・躡〕
蹒	〔蹒・(蹣)・蹣〕
蹚	〔蹚・[䠀]〕
蹰	〔蹰・[躕]〕
蹴	〔蹴・[蹵]〕
蹿	〔蹿・(躥)・躥〕
躏	〔躏・(躪)・躪〕
躜	〔躜・(躦)・躦〕
躬	〔躬・[躳]〕
躯	〔躯・(軀)・軀〕
车	〔车・(車)・車〕
轧	〔轧・(軋)・軋〕
轨	〔轨・(軌)・軌〕
轩	〔轩・(軒)・軒〕
轪	〔轪・(軑)〕
轫	〔轫・(軔)[軔]・軔〕
转	〔转・(轉)・轉〕
轭	〔轭・(軛)・軛〕
轮	〔轮・(輪)・輪〕
软	〔软・(軟)[輭]・軟〕
轰	〔轰・(轟)・轟〕
轱	〔轱・(軲)・軲〕
轲	〔轲・(軻)・軻〕
轳	〔轳・(轤)・轤〕
轴	〔轴・(軸)・軸〕
轵	〔轵・(軹)〕
轶	〔轶・(軼)・軼〕
轷	〔轷・(軤)・軤〕
轸	〔轸・(軫)・軫〕
轹	〔轹・(轢)・轢〕
轺	〔轺・(軺)・軺〕
轻	〔轻・(輕)・輕〕
轼	〔轼・(軾)・軾〕
载	〔载・(載)・載〕
轾	〔轾・(輊)・輊〕
轿	〔轿・(轎)・轎〕
辀	〔辀・(輈)〕
辁	〔辁・(輇)〕
辂	〔辂・(輅)・輅〕
较	〔较・(較)・較〕
辄	〔辄・(輒)[輙]・輒〕
辅	〔辅・(輔)・輔〕
辆	〔辆・(輛)・輛〕
辇	〔辇・(輦)・輦〕
辈	〔辈・(輩)・輩〕
辉	〔辉・(輝)[煇]・輝〕
辊	〔辊・(輥)・輥〕
辋	〔辋・(輞)・輞〕
辍	〔辍・(輟)・輟〕
辎	〔辎・(輜)・輜〕
辏	〔辏・(輳)・輳〕
辐	〔辐・(輻)・輻〕
辑	〔辑・(輯)・輯〕
输	〔输・(輸)・輸〕
辔	〔辔・(轡)・轡〕
辕	〔辕・(轅)・轅〕
辖	〔辖・(轄)・轄〕
辗	〔辗・(輾)・輾〕
辘	〔辘・(轆)・轆〕
辙	〔辙・(轍)・轍〕
辚	〔辚・(轔)・轔〕
辞	〔辞・(辭)[辤]・辭〕
辟	〔辟・(辟|闢)・闢〕
辣	〔辣・[辢]〕
辩	〔辩・(辯)・辯〕
辫	〔辫・(辮)・辮〕
边	〔边・(邊)・鏢〕
辽	〔辽・(遼)・遼〕
达	〔达・(達)・達〕
迁	〔迁・(遷)・遷〕
过	〔过・(過)・過〕
迈	〔迈・(邁)・邁〕
运	〔运・(運)・運〕
还	〔还・(還)・還〕
这	〔这・(這)・這〕
进	〔进・(進)・進〕
远	〔远・(遠)・遠〕
违	〔违・(違)・違〕
连	〔连・(連)・連〕
迟	〔迟・(遲)・遲〕
迥	〔迥・[逈]〕
迩	〔迩・(邇)・邇〕
迫	〔迫・[廹]〕
迳	〔迳・(逕)〕
迹	〔迹・[跡蹟]・跡〕
适	〔适・(適)・適〕
选	〔选・(選)・選〕
逊	〔逊・(遜)・遜〕
递	〔递・(遞)・遞〕
逦	〔逦・(邐)・邐〕
逻	〔逻・(邏)・邏〕
逼	〔逼・[偪]〕
逾	〔逾・[踰]〕
遁	〔遁・[遯]〕
遍	〔遍・[徧]〕
遗	〔遗・(遺)・遺〕
邓	〔邓・(鄧)・鄧〕
邝	〔邝・(鄺)・鄺〕
邪	〔邪・[衺]〕
邬	〔邬・(鄔)・鄔〕
邮	〔邮・(郵)・郵〕
邹	〔邹・(鄒)・鄒〕
邺	〔邺・(鄴)・鄴〕
邻	〔邻・(鄰)[隣]・鄰〕
郁	〔郁・(郁|鬱)[|欝鬰]・鬱〕
郏	〔郏・(郟)・郟〕
郐	〔郐・(鄶)・鄶〕
郑	〔郑・(鄭)・鄭〕
郓	〔郓・(鄆)・鄆〕
郦	〔郦・(酈)・酈〕
郧	〔郧・(鄖)・鄖〕
郸	〔郸・(鄲)・鄲〕
酝	〔酝・(醖)・醞〕
酬	〔酬・[酧詶醻]〕
酱	〔酱・(醬)・醬〕
酽	〔酽・(釅)・釅〕
酾	〔酾・釃〕
酿	〔酿・(釀)・釀〕
醇	〔醇・[醕]〕
采	〔采・[採寀]〕
释	〔释・(釋)・釋〕
里	〔里・(里|裏)[|裡]・裡〕
野	〔野・[埜𡐨]〕
鉴	〔鉴・(鑒)[鍳鑑]・鑒〕
銮	〔銮・(鑾)・鑾〕
錾	〔錾・(鏨)・鏨〕
钆	〔钆・(釓)・釓〕
钇	〔钇・(釔)・釔〕
针	〔针・(針)[鍼]・針〕
钉	〔钉・(釘)・釘〕
钊	〔钊・(釗)・釗〕
钋	〔钋・(釙)・釙〕
钌	〔钌・(釕)・釕〕
钍	〔钍・(釷)・釷〕
钎	〔钎・(釺)〕
钏	〔钏・(釧)・釧〕
钐	〔钐・(釤)・釤〕
钒	〔钒・(釩)・釩〕
钓	〔钓・(釣)・釣〕
钔	〔钔・(鍆)・鍆〕
钕	〔钕・(釹)・釹〕
钖	〔钖・(鍚)・鍚〕
钗	〔钗・(釵)・釵〕
钘	〔钘・(鈃)・鈃〕
钙	〔钙・(鈣)・鈣〕
钚	〔钚・(鈈)・鈽〕
钛	〔钛・(鈦)・鈦〕
钜	〔钜・(鉅)〕
钝	〔钝・(鈍)・鈍〕
钞	〔钞・(鈔)・鈔〕
钟	〔钟・(鍾|鐘)・鍾|鐘〕
钠	〔钠・(鈉)・鈉〕
钡	〔钡・(鋇)・鋇〕
钢	〔钢・(鋼)・鋼〕
钣	〔钣・(鈑)〕
钤	〔钤・(鈐)・鈐〕
钥	〔钥・(鑰)・鑰〕
钦	〔钦・(欽)・欽〕
钧	〔钧・(鈞)・鈞〕
钨	〔钨・(鎢)・鎢〕
钩	〔钩・(鈎)[鉤]・鉤〕
钪	〔钪・(鈧)・鈧〕
钫	〔钫・(鈁)・鍅〕
钬	〔钬・(鈥)・鈥〕
钭	〔钭・(鈄)〕
钮	〔钮・(鈕)・鈕〕
钯	〔钯・(鈀)・鈀〕
钰	〔钰・(鈺)・鈺〕
钱	〔钱・(錢)・錢〕
钲	〔钲・(鉦)・鉦〕
钳	〔钳・(鉗)・鉗〕
钴	〔钴・(鈷)・鈷〕
钵	〔钵・(鉢)[盋缽]・缽〕
钷	〔钷・(鉕)〕
钹	〔钹・(鈸)・鈸〕
钺	〔钺・(鉞)・鉞〕
钻	〔钻・(鑽)[鑚]・鑽〕
钼	〔钼・(鉬)・鉬〕
钽	〔钽・(鉭)・鉭〕
钾	〔钾・(鉀)・鉀〕
钿	〔钿・(鈿)・鈿〕
铀	〔铀・(鈾)・鈾〕
铁	〔铁・(鐵)・鐵〕
铂	〔铂・(鉑)・鉑〕
铃	〔铃・(鈴)・鈴〕
铄	〔铄・(鑠)・鑠〕
铅	〔铅・(鉛)[鈆]・鉛〕
铆	〔铆・(鉚)・鉚〕
铈	〔铈・(鈰)・鈰〕
铉	〔铉・(鉉)・鉉〕
铊	〔铊・(鉈)・鉈〕
铋	〔铋・(鉍)・鉍〕
铌	〔铌・(鈮)・鈮〕
铍	〔铍・(鈹)・鈹〕
铎	〔铎・(鐸)・鐸〕
铏	〔铏・鉶〕
铐	〔铐・(銬)・銬〕
铑	〔铑・(銠)・銠〕
铒	〔铒・(鉺)・鉺〕
铓	〔铓・鋩〕
铕	〔铕・銪〕
铗	〔铗・(鋏)・鋏〕
铙	〔铙・(鐃)・鐃〕
铛	〔铛・(鐺)・鐺〕
铜	〔铜・(銅)・銅〕
铝	〔铝・(鋁)・鋁〕
铞	〔铞・銱〕
铟	〔铟・(銦)・銦〕
铠	〔铠・(鎧)・鎧〕
铡	〔铡・(鍘)・鍘〕
铢	〔铢・(銖)・銖〕
铣	〔铣・(銑)・銑〕
铤	〔铤・(鋌)・鋌〕
铥	〔铥・銩〕
铧	〔铧・(鏵)・鏵〕
铨	〔铨・(銓)・銓〕
铩	〔铩・(鎩)・鎩〕
铪	〔铪・(鉿)・鉿〕
铫	〔铫・(銚)・銚〕
铬	〔铬・(鉻)・鉻〕
铭	〔铭・(銘)・銘〕
铮	〔铮・(錚)・錚〕
铯	〔铯・(銫)・銫〕
铰	〔铰・(鉸)・鉸〕
铱	〔铱・(銥)・銥〕
铲	〔铲・(鏟)[剷]・鏟|剷〕
铳	〔铳・(銃)・銃〕
铵	〔铵・(銨)・銨〕
银	〔银・(銀)・銀〕
铷	〔铷・(銣)・銣〕
铸	〔铸・(鑄)・鑄〕
铹	〔铹・鐒〕
铺	〔铺・(鋪)[舖]・鋪〕
铻	〔铻・(鋙)〕
铼	〔铼・(錸)・錸〕
铽	〔铽・鋱〕
链	〔链・(鏈)・鏈〕
铿	〔铿・(鏗)・鏗〕
销	〔销・(銷)・銷〕
锁	〔锁・(鎖)[鎻]・鎖〕
锂	〔锂・(鋰)・鋰〕
锃	〔锃・(鋥)・鋥〕
锄	〔锄・(鋤)[鉏耡]・鋤〕
锅	〔锅・(鍋)・鍋〕
锆	〔锆・(鋯)・鋯〕
锇	〔锇・(鋨)・鋨〕
锈	〔锈・(銹)[鏽]・鏽〕
锉	〔锉・(銼)[剉]・銼〕
锋	〔锋・(鋒)・鋒〕
锌	〔锌・(鋅)・鋅〕
锏	〔锏・(鐧)・鐧〕
锐	〔锐・(鋭)・銳〕
锑	〔锑・(銻)・銻〕
锒	〔锒・(鋃)・鋃〕
锓	〔锓・鋟〕
锔	〔锔・(鋦)・鋦〕
锕	〔锕・(錒)・錒〕
锗	〔锗・(鍺)・鍺〕
锘	〔锘・鍩〕
错	〔错・(錯)・錯〕
锚	〔锚・(錨)・錨〕
锛	〔锛・(錛)・錛〕
锜	〔锜・(錡)〕
锝	〔锝・(鍀)・鎝〕
锞	〔锞・(錁)・錁〕
锟	〔锟・(錕)・錕〕
锡	〔锡・(錫)・錫〕
锢	〔锢・(錮)・錮〕
锣	〔锣・(鑼)・鑼〕
锤	〔锤・(錘)[鎚]・錘〕
锥	〔锥・(錐)・錐〕
锦	〔锦・(錦)・錦〕
锧	〔锧・鑕〕
锨	〔锨・(鍁)〕
锩	〔锩・(錈)〕
锫	〔锫・錇〕
锬	〔锬・錟〕
锭	〔锭・(錠)・錠〕
键	〔键・(鍵)・鍵〕
锯	〔锯・(鋸)・鋸〕
锰	〔锰・(錳)・錳〕
锱	〔锱・(錙)・錙〕
锲	〔锲・(鍥)・鍥〕
锴	〔锴・(鍇)・鍇〕
锵	〔锵・(鏘)・鏘〕
锶	〔锶・(鍶)・鍶〕
锷	〔锷・(鍔)・鍔〕
锸	〔锸・(鍤)・鍤〕
锹	〔锹・(鍬)[鍫]・鍬〕
锻	〔锻・(鍛)・鍛〕
锾	〔锾・鍰〕
锿	〔锿・鑀〕
镀	〔镀・(鍍)・鍍〕
