㑇	〔㑇・(㑳)〕
双	〔双・(雙)・雙〕
发	〔发・(發|髮)・發|髮〕
变	〔变・(變)・變〕
叙	〔叙・[敍敘]〕
叠	〔叠・[㬪曡疊]〕
叩	〔叩・[敂]〕
只	〔只・(衹|隻)[祇秖|]・衹|隻〕
叫	〔叫・[呌]〕
台	〔台・(台|臺|颱|檯)・臺|颱|檯〕
叶	〔叶・(叶|葉)・葉〕
号	〔号・(號)・號〕
叹	〔叹・(嘆)[歎]・嘆〕
叽	〔叽・(嘰)・嘰〕
吁	〔吁・(吁|籲)・籲〕
吃	〔吃・[喫]〕
合	〔合・(合|閤)・閤〕
吊	〔吊・[弔]〕
同	〔同・[仝衕]〕
后	〔后・(后|後)・後〕
向	〔向・(向|嚮)[|曏]・嚮〕
吓	〔吓・(嚇)・嚇〕
吗	〔吗・(嗎)・嗎〕
吝	〔吝・[恡]〕
吟	〔吟・[唫]〕
吨	〔吨・(噸)・噸〕
听	〔听・(聽)・聽〕
启	〔启・(啓)[唘啟]・啟〕
吻	〔吻・[脗]〕
呆	〔呆・[獃]・獃〕
呒	〔呒・(嘸)・嘸〕
呓	〔呓・(囈)・囈〕
呕	〔呕・(嘔)・嘔〕
呖	〔呖・(嚦)・嚦〕
呗	〔呗・(唄)・唄〕
员	〔员・(員)・員〕
呙	〔呙・(咼)〕
呛	〔呛・(嗆)・嗆〕
呜	〔呜・(嗚)・嗚〕
周	〔周・[週]・週〕
呼	〔呼・[虖嘑謼]〕
命	〔命・[𠇮]〕
和	〔和・[咊龢]〕
咏	〔咏・[詠]〕
咒	〔咒・[呪]〕
咙	〔咙・(嚨)・嚨〕
咛	〔咛・(嚀)・嚀〕
咝	〔咝・(噝)〕
咤	〔咤・[吒]〕
咩	〔咩・[哶𠴟]〕
咬	〔咬・[齩]〕
咱	〔咱・[倃𠴰偺喒]〕
咳	〔咳・[欬]〕
咸	〔咸・(咸|鹹)・鹹〕
咽	〔咽・[嚥]〕
咿	〔咿・[吚]〕
哄	〔哄・[閧鬨]・鬨〕
响	〔响・(響)・響〕
哑	〔哑・(啞)・啞〕
哒	〔哒・(噠)・噠〕
哓	〔哓・(嘵)・嘵〕
哔	〔哔・(嗶)・嗶〕
哕	〔哕・(噦)・噦〕
哗	〔哗・(嘩)[譁]・嘩〕
哙	〔哙・(噲)・噲〕
