舍	(舍|捨)
命	[𠇮]
肴	[餚]
采	[採寀]
觅	(覓)[覔]
贪	(貪)
念	[唸]
贫	(貧)
肤	(膚)
肿	(腫)
胀	(脹)
肮	(骯)
胁	(脅)[脇]
周	[週]
昏	[昬]
鱼	(魚)
兔	[兎兔]
狞	(獰)
备	(備)[俻]
饰	(飾)
饱	(飽)
饲	(飼)[飤]
变	(變)
享	[亯]
庞	(龐)
夜	[亱]
庙	(廟)
疟	(瘧)
剂	(劑)
卒	[䘚]
废	(廢)[癈]
净	[淨]
闸	(閘)[牐]
闹	(鬧)[閙]
郑	(鄭)
券	[劵]
卷	(卷|捲)
单	(單)
炕	[匟]
炉	(爐)[鑪]
浅	(淺)
法	[㳒灋]
泄	[洩]
沾	[霑]
泪	[淚]
注	[註]
泞	(濘)
泻	(瀉)
泼	(潑)
泽	(澤)
怜	(憐)
怪	[恠]
学	(學)
宝	(寶)[寳]
宠	(寵)
审	(審)
帘	(帘|簾)
实	(實)[寔]
试	(試)
诗	(詩)
诚	(誠)
衬	(襯)
视	(視)[眎眡]
话	(話)[䛡]
诞	(誕)
诡	(詭)
询	(詢)
该	(該)
详	(詳)
肃	(肅)
录	(録)
隶	(隸)[𨽻隷]
帚	[箒]
届	[屆]
弥	(彌|瀰)
弦	[絃]
陕	(陝)
函	[圅]
驾	(駕)
参	(參)[㕘葠蓡]
艰	(艱)
线	(綫)[線]
练	(練)
组	(組)
绅	(紳)
细	(細)
驶	(駛)
织	(織)
驹	(駒)
终	(終)
驻	(駐)
绊	(絆)
驼	(駝)[駞]
绍	(紹)
绎	(繹)
经	(經)
贯	(貫)
贰	(貳)
春	[旾]
帮	(幫)[幇幚]
珍	[珎]
珊	[珊󠄀]
挂	[𦊱掛]
项	(項)
挟	(挾)
挠	(撓)
赵	(趙)
挡	(擋)[攩]
括	[𢬸]
垛	[垜]
垫	(墊)
挤	(擠)
挥	(揮)
荐	(薦)
带	(帶)
草	[艸]
茧	(繭)[蠒]
荡	(蕩)[盪]
荣	(榮)
荤	(葷)
荧	(熒)
胡	(胡|鬍)[衚|]
荫	(蔭)[廕]
荔	[茘]
药	(藥)
标	(標)
栈	(棧)
栋	(棟)
查	[査]
